Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,TotalQuantity,AvgQtyPerTrans,MinQuantity,MaxQuantity,CustomerTenure,FirstPurchase,PreferredDay,PreferredHour,PreferredMonth,WeekendRatio,AvgDaysBetween,UniqueDesc,AvgProdPerTrans,UniqueCountries,NegQtyCount,ZeroPriceCount,CancelledTrans,ReturnRatio,TotalTrans,AvgLinesPerInv,Age,SupportTickets,Satisfaction,Churn,RFMSegment,AgeCategory,PreferredTime,LoyaltyLevel,ChurnRisk,BasketSize,RegYear,RegMonth,RegDay,RegWeekday,IP_IsPrivate,IP_FirstOctet,MonetaryPerDay,AvgBasketValue,TenureRatio,FrequencyRatio,Country_TargetEnc,CustomerType_Hyperactif,CustomerType_Nouveau,CustomerType_Occasionnel,CustomerType_Perdu,CustomerType_Régulier,FavoriteSeason_Automne,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,Region_Asie,Region_Autre,Region_Europe_C,Region_Europe_E,Region_Europe_N,Region_Europe_S,Region_UK,WeekendPref_Inconnu,WeekendPref_Semaine,WeekendPref_Weekend,ProdDiversity_Explorateur,ProdDiversity_Modéré,ProdDiversity_Spécialisé,Gender_F,Gender_Unknown,AccountStatus_Active,AccountStatus_Closed,AccountStatus_Pending,AccountStatus_Suspended
105,34,10326.32,236.74,17.68,1426.77,374,14.49,-1992,3312,359,353,4,22,6,0.778,277.5,832,24.79,1,67,7,36,0.105,7183,100.0,36.189971357566975,13.0,5.0,0,3,2,0,3,0,1,2017,8,8,3,0,44,97.41811320754717,303.71529411764703,0.2916666666666667,0.09444444444444444,0.20833333333333334,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
110,26,1148.24,29.23,10.23,182.01,442,17.31,-610,4296,647,598,4,23,5,0.704,206.7,43,2.95,2,4,27,36,0.153,594,19.67,76.17772791187616,4.0,1.0,0,3,5,3,3,1,1,2017,8,8,3,0,147,10.344504504504505,44.16307692307692,0.1697530864197531,0.040123456790123455,0.18386491557223264,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
225,45,14430.72,359.65,43.82,4565.69,180,5.26,-1281,4076,681,413,2,8,2,0.773,354.0,973,23.2,3,22,25,41,0.632,8679,100.0,79.73877895343145,2.0,2.0,0,1,5,4,3,0,1,2017,8,8,3,0,94,63.85274336283186,320.68266666666665,0.32991202346041054,0.06598240469208211,0.18386491557223264,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
8,3,7884.29,500.0,12.03,1580.18,72,24.34,-5959,2591,631,269,4,7,1,0.485,143.9,704,100.0,5,59,19,50,0.366,9691,100.0,49.40841787345389,13.0,4.0,0,1,-1,1,3,0,-1,2017,8,8,3,1,192,876.0322222222222,2628.096666666667,0.012658227848101266,0.004746835443037975,0.11764705882352941,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
207,3,12598.28,500.0,78.47,837.04,9,2.99,-143,5392,78,70,6,23,3,0.697,68.3,503,100.0,5,41,18,41,0.149,1125,100.0,69.16692398085092,15.0,1.0,0,2,5,4,1,0,1,2017,8,8,3,0,168,60.56865384615385,4199.426666666667,2.6202531645569622,0.0379746835443038,0.09090909090909091,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
260,6,4845.58,500.0,76.88,1802.18,12,5.01,-4234,2102,318,116,3,23,5,0.082,65.5,206,35.38,4,80,13,28,0.122,2868,100.0,66.58839540256686,14.0,3.0,0,3,5,4,3,1,-1,2017,8,8,3,0,116,18.56544061302682,807.5966666666667,0.8150470219435737,0.018808777429467086,0.18386491557223264,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
242,23,4771.42,228.22,61.0,1134.84,276,13.52,-7589,4967,454,96,4,6,9,0.835,312.9,206,7.33,5,97,49,25,0.674,8044,100.0,49.40841787345389,9.0,4.0,0,0,-1,1,3,1,1,2017,8,8,3,0,113,19.635473251028806,207.45304347826087,0.5318681318681319,0.05054945054945055,0.20833333333333334,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
142,34,13566.83,384.59,31.05,4465.33,578,16.51,-7486,5528,497,255,1,17,8,0.339,168.2,138,3.94,1,23,24,40,0.463,2508,67.99,39.43986342489541,14.0,4.0,0,2,2,0,3,0,1,2017,8,8,3,0,151,94.87293706293707,399.02441176470586,0.285140562248996,0.06827309236947791,0.19736842105263158,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
63,45,1850.4,21.34,77.04,-105.59,1215,25.32,-6534,4629,384,1,2,1,9,0.874,106.5,203,5.15,5,41,35,25,0.873,4127,77.9,49.40841787345389,2.0,3.0,0,2,-1,0,3,3,-1,2020,2,2,6,0,201,28.9125,41.120000000000005,0.16363636363636364,0.11688311688311688,0.18386491557223264,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
47,6,1646.29,344.26,47.05,226.74,78,16.74,-1709,328,58,45,0,10,5,0.578,287.8,122,19.03,5,47,27,39,0.404,2121,100.0,55.01411512096772,10.0,3.0,0,1,4,0,1,0,1,2017,8,8,3,1,192,34.29770833333333,274.38166666666666,0.7966101694915254,0.1016949152542373,0.18386491557223264,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
166,29,10486.56,265.4,26.11,884.72,174,6.38,-6878,7122,76,4,1,8,4,0.1,269.1,415,13.94,4,97,7,31,0.656,8750,100.0,54.22296745525531,8.0,5.0,0,0,3,2,1,1,0,2017,8,8,3,1,192,62.793772455089815,361.6055172413793,2.155844155844156,0.37662337662337664,0.11764705882352941,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
378,5,3886.02,500.0,41.97,469.0,135,28.83,-6531,550,253,44,0,12,3,0.419,332.3,565,100.0,4,98,48,41,0.796,3368,100.0,49.40841787345389,14.0,4.0,1,2,-1,3,3,2,2,2017,8,8,3,0,75,10.25335092348285,777.204,1.4881889763779528,0.01968503937007874,0.18386491557223264,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
207,41,10788.0,248.08,47.42,754.67,861,18.79,-5506,4422,56,44,3,16,3,0.805,316.1,374,8.5,5,5,32,23,0.954,7867,100.0,49.40841787345389,6.0,5.0,0,1,-1,4,1,2,1,2017,8,8,3,0,174,51.86538461538461,263.1219512195122,3.6315789473684212,0.7192982456140351,0.18386491557223264,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
207,44,6550.23,265.66,62.2,986.11,1276,24.58,-4398,3214,62,38,0,16,11,0.243,35.7,792,18.89,2,66,5,2,0.869,2651,59.9,38.12702154763426,9.0,4.0,0,0,2,2,1,2,2,2017,8,8,3,0,106,31.491490384615382,148.8688636363636,3.2857142857142856,0.6984126984126984,0.18386491557223264,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
224,11,3254.97,343.73,84.78,836.96,242,20.16,-7099,631,449,315,5,22,4,0.182,62.7,260,24.22,1,15,24,12,0.775,8720,100.0,31.953058397402938,10.0,2.0,0,0,1,3,3,0,0,2017,8,8,3,0,180,14.466533333333333,295.9063636363636,0.49777777777777776,0.024444444444444446,0.19230769230769232,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
70,17,5501.06,245.49,1.83,1791.53,442,27.27,-1398,5790,405,142,5,9,11,0.017,168.2,55,3.13,1,28,0,10,0.413,7554,100.0,64.50867045720878,11.0,4.0,1,0,4,4,3,2,1,2017,8,8,3,0,213,77.47971830985917,323.5917647058824,0.1724137931034483,0.04187192118226601,0.18386491557223264,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
145,16,681.92,149.79,102.73,30.57,256,14.83,-20,4558,7,3,0,5,5,0.688,326.6,998,62.28,1,73,29,4,0.983,4817,100.0,75.8520423972959,12.0,3.0,0,1,5,0,0,1,1,2017,8,8,3,1,192,4.670684931506849,42.62,18.125,2.0,0.043478260869565216,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
127,11,6774.63,500.0,55.58,711.93,198,15.73,-7931,4359,554,553,5,5,10,0.375,272.4,569,54.74,4,57,4,0,0.265,8157,100.0,78.99807594651107,8.0,3.0,0,1,5,1,3,0,1,2017,8,8,3,1,10,52.926796875,615.8754545454545,0.22882882882882882,0.01981981981981982,0.19230769230769232,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
261,5,6933.91,500.0,59.42,947.0,45,9.04,-6482,6404,152,129,4,23,12,0.175,47.5,498,100.0,1,92,8,33,0.661,1599,100.0,68.62659499606622,10.0,5.0,0,1,5,2,2,1,1,2017,8,8,3,0,197,26.46530534351145,1386.782,1.7058823529411764,0.032679738562091505,0.3333333333333333,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
112,44,1261.13,76.62,63.95,12.71,880,19.9,-6531,5497,459,156,2,14,7,0.601,69.2,928,21.16,2,94,7,43,0.131,9344,100.0,49.40841787345389,8.0,5.0,0,3,-1,1,3,2,0,2017,8,8,3,0,178,11.160442477876106,28.662045454545456,0.24347826086956523,0.09565217391304348,0.18386491557223264,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
366,3,238.35,122.6,56.43,119.72,72,25.9,-4851,7763,452,92,0,10,12,0.144,169.4,914,100.0,1,2,23,31,0.606,1379,100.0,69.3071882274595,8.0,3.0,1,2,5,0,3,0,2,2017,8,8,3,1,10,0.6494550408719346,79.45,0.8079470198675497,0.006622516556291391,0.29411764705882354,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
160,19,3973.57,266.85,70.71,429.2,380,19.75,-4915,1817,651,152,6,19,9,0.725,251.3,706,36.99,4,21,24,12,0.69,1179,59.73,66.0501702766734,15.0,4.0,0,2,5,3,3,1,1,2017,8,8,3,0,163,24.68055900621118,209.13526315789474,0.24539877300613497,0.029141104294478526,0.125,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
276,18,13405.56,500.0,142.57,1077.64,234,15.69,-6784,6041,26,21,5,13,12,0.583,71.3,805,43.97,2,64,40,16,0.09,5774,100.0,43.36747128979204,6.0,5.0,0,2,2,1,0,2,0,2017,8,8,3,0,56,48.39552346570397,744.7533333333333,10.222222222222221,0.6666666666666666,0.18386491557223264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
185,32,7738.34,219.74,106.25,2681.05,704,23.93,-1419,1427,247,82,3,4,11,0.247,30.4,634,18.87,5,30,7,1,0.295,853,19.3,49.40841787345389,8.0,4.0,0,3,-1,1,3,2,2,2017,8,8,3,1,192,41.603978494623654,241.823125,0.7459677419354839,0.12903225806451613,0.18386491557223264,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
209,34,10094.38,306.68,46.34,2923.98,272,6.31,-5572,7966,170,123,3,4,12,0.874,6.8,28,1.78,3,4,37,20,0.642,4789,100.0,71.81232406975533,0.0,5.0,0,3,5,3,2,0,1,2013,8,3,5,0,34,48.06847619047619,296.8935294117647,1.2222222222222223,0.19883040935672514,0.19736842105263158,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
41,26,918.15,86.61,101.89,255.6,182,10.55,-1008,3243,181,140,3,21,4,0.559,47.7,292,10.03,2,90,20,20,0.602,2042,73.59,49.40841787345389,14.0,4.0,0,2,-1,2,3,2,2,2017,9,9,5,0,13,21.860714285714284,35.31346153846154,0.22527472527472528,0.14285714285714285,0.19736842105263158,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
221,13,1641.85,132.4,71.77,255.13,39,6.04,-645,2398,565,189,5,0,5,0.129,149.6,871,66.95,4,37,18,5,0.668,8657,100.0,49.40841787345389,13.0,4.0,0,0,-1,2,3,2,2,2017,8,8,3,0,118,7.39572072072072,126.29615384615384,0.39045936395759717,0.022968197879858657,0.18386491557223264,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
258,48,8494.22,179.23,14.04,2794.42,192,3.81,-5195,7695,435,421,4,19,5,0.719,315.6,52,1.0,2,19,2,29,0.124,4039,69.4,80.16553978666339,14.0,4.0,0,3,5,4,3,0,1,2014,5,4,6,0,113,32.796216216216216,176.96291666666664,0.591743119266055,0.11009174311926606,0.18386491557223264,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
52,22,12543.24,472.51,12.85,2192.05,220,12.18,-2035,7088,628,383,1,18,4,0.315,14.8,632,28.25,2,64,38,14,0.515,8159,100.0,76.33744010901515,10.0,4.0,0,0,5,4,3,0,0,2017,8,8,3,0,52,236.66490566037734,570.1472727272727,0.08267090620031796,0.034976152623211444,0.17391304347826086,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
61,18,889.41,116.15,48.3,-87.33,522,32.91,-2850,5917,329,184,4,14,3,0.775,248.1,417,23.06,4,86,15,14,0.928,9384,100.0,65.67664057962335,5.0,4.0,0,0,5,0,3,2,2,2022,5,2,0,0,71,14.345322580645162,49.41166666666666,0.18484848484848485,0.05454545454545454,0.19736842105263158,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
204,21,14753.75,500.0,84.42,2569.84,252,13.49,-5396,4579,274,254,4,10,7,0.401,48.9,721,35.79,3,63,0,44,0.954,4578,100.0,49.40841787345389,14.0,4.0,0,3,-1,3,3,0,1,2017,8,8,3,1,192,71.96951219512195,702.5595238095239,0.7418181818181818,0.07636363636363637,0.18386491557223264,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
249,10,2826.32,225.44,51.81,462.35,290,29.14,-631,4769,627,544,0,22,5,0.076,179.4,29,6.54,5,67,9,46,0.127,2840,100.0,63.545601547225466,15.0,4.0,1,1,4,3,3,2,1,2017,8,8,3,1,10,11.30528,282.632,0.3964968152866242,0.01592356687898089,0.18386491557223264,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
69,4,13109.88,500.0,84.03,4245.19,92,23.09,-6235,7975,93,55,2,16,2,0.63,104.9,267,68.38,4,29,5,8,0.894,4401,100.0,59.62377899122713,9.0,2.0,0,0,4,4,2,1,1,2016,9,9,4,0,181,187.284,3277.47,0.7340425531914894,0.0425531914893617,0.18386491557223264,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
315,15,3132.17,163.1,77.92,233.05,285,16.84,-2656,5928,205,139,6,1,9,0.31,306.1,830,54.68,5,67,4,11,0.576,781,34.59,33.525498812969445,8.0,4.0,1,1,1,2,3,2,-1,2017,8,8,3,1,10,9.911930379746837,208.81133333333335,1.529126213592233,0.07281553398058252,0.18386491557223264,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
267,34,6155.25,165.42,64.19,874.69,952,30.18,-1020,7191,57,45,3,23,1,0.942,242.4,303,10.04,5,6,16,6,0.753,605,15.84,46.90301705016435,8.0,4.0,0,2,3,2,1,0,1,2017,8,8,3,0,3,22.967350746268657,181.03676470588235,4.603448275862069,0.5862068965517241,0.17391304347826086,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
46,27,11956.89,429.83,43.06,3141.85,459,18.36,-7409,5630,31,22,2,1,12,0.83,108.4,204,7.93,1,60,20,23,0.151,75,1.28,78.7637237271322,8.0,5.0,0,1,5,4,1,0,1,2017,8,8,3,1,192,254.401914893617,442.84777777777776,1.4375,0.84375,0.19736842105263158,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
15,21,11403.21,400.03,35.55,3860.18,462,21.23,-2861,4567,560,250,1,8,4,0.354,183.7,489,22.44,2,91,28,20,0.738,1866,83.33,19.1101951542801,11.0,3.0,0,2,0,3,3,0,0,2017,8,8,3,1,192,712.700625,543.01,0.026737967914438502,0.0374331550802139,0.18386491557223264,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
194,44,5250.05,168.49,38.48,579.17,484,8.54,-6033,4414,613,59,2,19,11,0.026,276.2,581,13.65,3,51,30,8,0.071,7965,100.0,49.40841787345389,6.0,5.0,0,3,-1,1,3,3,1,2017,8,8,3,1,10,26.923333333333336,119.31931818181819,0.31596091205211724,0.07166123778501629,0.17391304347826086,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
233,38,13176.83,326.8,72.91,2451.56,646,14.2,-1963,1728,653,320,2,18,7,0.538,316.4,658,18.08,5,30,2,31,0.633,2284,53.79,54.78396896519536,6.0,1.0,0,3,3,1,3,1,1,2017,8,8,3,1,10,56.311239316239316,346.7586842105263,0.3562691131498471,0.0581039755351682,0.18386491557223264,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
86,33,9577.29,299.83,52.94,2105.0,330,8.65,-1945,101,45,23,1,3,8,0.646,226.2,603,17.85,5,16,37,1,0.668,3285,81.92,72.6982474632851,15.0,3.0,0,2,5,0,1,0,2,2022,10,11,1,0,193,110.08379310344829,290.2209090909091,1.8695652173913044,0.717391304347826,0.18386491557223264,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
63,36,14909.86,392.75,51.27,5000.0,756,21.11,-4464,6775,603,68,1,22,10,0.683,224.3,975,26.84,2,77,27,6,0.665,2344,54.65,49.40841787345389,9.0,2.0,0,3,-1,2,3,1,0,2017,8,8,3,0,3,232.9665625,414.1627777777778,0.10430463576158941,0.059602649006622516,0.18386491557223264,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0
189,22,5087.4,274.4,29.85,1165.03,66,4.45,-3727,4394,188,184,6,10,11,0.349,37.6,794,38.21,1,18,27,1,0.059,857,37.73,24.309517728271548,4.0,3.0,0,3,0,3,3,3,1,2017,8,8,3,0,161,26.77578947368421,231.24545454545452,1.0,0.1164021164021164,0.11764705882352941,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
181,42,9688.86,256.32,84.29,753.1,798,21.46,-3983,5940,531,34,6,19,11,0.142,190.3,880,19.94,1,6,0,44,0.384,8399,100.0,41.77793434604186,4.0,3.0,0,0,2,2,3,0,2,2017,8,8,3,0,221,53.23549450549451,230.68714285714287,0.34022556390977443,0.07894736842105263,0.18386491557223264,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
81,9,6424.91,500.0,74.94,1411.82,153,18.55,-4152,4446,664,172,6,6,6,0.559,297.6,693,76.13,3,22,11,11,0.744,5965,100.0,25.85157934122912,15.0,4.0,0,3,1,1,3,2,0,2017,8,8,3,1,192,78.35256097560975,713.8788888888889,0.12180451127819548,0.013533834586466165,0.18386491557223264,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
130,3,9748.56,500.0,132.53,1071.38,81,29.5,-1243,6992,458,452,6,23,7,0.487,249.1,884,100.0,1,65,15,14,0.797,5657,100.0,76.64792075383055,15.0,2.0,0,3,5,3,3,0,1,2017,8,8,3,0,90,74.41648854961832,3249.52,0.28322440087145967,0.006535947712418301,0.19736842105263158,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
238,49,3970.56,148.12,54.32,1257.48,1029,21.33,-2903,2175,700,652,3,7,9,0.994,17.4,166,5.13,3,53,24,34,0.416,6556,100.0,61.55299727708347,12.0,3.0,0,2,4,4,3,1,0,2017,8,8,3,1,192,16.613221757322176,81.03183673469388,0.33951497860199714,0.06990014265335236,0.18386491557223264,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
139,17,5798.9,343.33,102.06,738.01,408,23.93,-2680,801,26,22,3,12,6,0.575,255.3,877,49.26,3,75,17,50,0.162,7248,100.0,49.40841787345389,2.0,4.0,0,1,-1,1,0,0,0,2017,8,8,3,1,192,41.42071428571428,341.1117647058823,5.148148148148148,0.6296296296296297,0.13333333333333333,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
376,3,2784.44,500.0,39.2,664.93,45,15.32,-1522,4443,248,105,6,11,7,0.182,147.0,883,100.0,5,42,7,5,0.499,2887,100.0,26.90794960469132,7.0,4.0,1,0,1,1,3,2,1,2017,8,8,3,0,7,7.3857824933687,928.1466666666666,1.5100401606425702,0.012048192771084338,0.18386491557223264,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
